Scientific,TipLabel,English,Taxonomy,Patch Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc,Jarvis_patch,Jarvis_superorder,Notes
Pelargopsis capensis,Pelargopsis_capensis,Stork-billed Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Pelargopsis amauroptera,Pelargopsis_amauroptera,Brown-winged Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Pelargopsis melanorhyncha,Pelargopsis_melanorhyncha,Black-billed Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Tanysiptera hydrocharis,Tanysiptera_hydrocharis,Little Paradise-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Tanysiptera galatea,Tanysiptera_galatea,Common Paradise-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Tanysiptera ellioti,Tanysiptera_ellioti,Kofiau Paradise-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus albonotatus,Todiramphus_albonotatus,New Britain Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Tanysiptera danae,Tanysiptera_danae,Brown-headed Paradise-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Tanysiptera carolinae,Tanysiptera_carolinae,Numfor Paradise-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus ruficollaris,Todiramphus_ruficollaris,Mangaia Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Syma torotoro,Syma_torotoro,Yellow-billed Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Tanysiptera nympha,Tanysiptera_nympha,Red-breasted Paradise-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus australasia,Todiramphus_australasia,Cinnamon-banded Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Syma megarhyncha,Syma_megarhyncha,Mountain Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus saurophaga,Todiramphus_saurophaga,Beach Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus tutus,Todiramphus_tutus,Chattering Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus veneratus,Todiramphus_veneratus,Tahiti Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus winchelli,Todiramphus_winchelli,Rufous-lored Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus lazuli,Todiramphus_lazuli,Lazuli Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus sanctus,Todiramphus_sanctus,Sacred Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus godeffroyi,Todiramphus_godeffroyi,Marquesan Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus chloris,Todiramphus_chloris,Collared Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus macleayii,Todiramphus_macleayii,Forest Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus cinnamominus,Todiramphus_cinnamominus,Micronesian Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus diops,Todiramphus_diops,Blue-and-white Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus enigma,Todiramphus_enigma,Talaud Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus farquhari,Todiramphus_farquhari,Chestnut-bellied Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus gambieri,Todiramphus_gambieri,Tuamotu Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Tanysiptera riedelii,Tanysiptera_riedelii,Biak Paradise-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus nigrocyaneus,Todiramphus_nigrocyaneus,Blue-black Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus pyrrhopygius,Todiramphus_pyrrhopygius,Red-backed Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus recurvirostris,Todiramphus_recurvirostris,Flat-billed Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus leucopygius,Todiramphus_leucopygius,Ultramarine Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Tanysiptera sylvia,Tanysiptera_sylvia,Buff-breasted Paradise-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus funebris,Todiramphus_funebris,Sombre Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Alcedo semitorquata,Alcedo_semitorquata,Half-collared Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Alcedo websteri,Alcedo_websteri,Bismarck Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Dacelo novaeguineae,Dacelo_novaeguineae,Laughing Kookaburra,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Alcedo hercules,Alcedo_hercules,Blyth's Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Ceyx erithaca,Ceyx_erithaca,Black-backed Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Alcedo leucogaster,Alcedo_leucogaster,White-bellied Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Alcedo meninting,Alcedo_meninting,Blue-eared Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Alcedo euryzona,Alcedo_euryzona,Blue-banded Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Alcedo quadribrachys,Alcedo_quadribrachys,Shining Blue Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Dacelo tyro,Dacelo_tyro,Spangled Kookaburra,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Ceyx fallax,Ceyx_fallax,Sulawesi Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Ceyx lecontei,Ceyx_lecontei,African Dwarf-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Ceyx lepidus,Ceyx_lepidus,Variable Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Ceyx madagascariensis,Ceyx_madagascariensis,Madagascar Pygmy-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Ceyx melanurus,Ceyx_melanurus,Philippine Dwarf-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Ceyx pictus,Ceyx_pictus,African Pygmy-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Ceyx rufidorsa,Ceyx_rufidorsa,Rufous-backed Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Alcedo vintsioides,Alcedo_vintsioides,Madagascar Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Alcedo coerulescens,Alcedo_coerulescens,Small Blue Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Alcedo pusilla,Alcedo_pusilla,Little Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Actenoides bougainvillei,Actenoides_bougainvillei,Moustached Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Dacelo gaudichaud,Dacelo_gaudichaud,Rufous-bellied Kookaburra,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Caridonax fulgidus,Caridonax_fulgidus,White-rumped Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Chloroceryle inda,Chloroceryle_inda,Green-and-rufous Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Alcedo cristata,Alcedo_cristata,Malachite Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Ceryle rudis,Ceryle_rudis,Pied Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Alcedo cyanopectus,Alcedo_cyanopectus,Indigo-banded Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Actenoides princeps,Actenoides_princeps,Scaly Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Actenoides monachus,Actenoides_monachus,Green-backed Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Actenoides lindsayi,Actenoides_lindsayi,Spotted Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Actenoides hombroni,Actenoides_hombroni,Blue-capped Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Dacelo leachii,Dacelo_leachii,Blue-winged Kookaburra,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Actenoides concretus,Actenoides_concretus,Rufous-collared Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Cittura cyanotis,Cittura_cyanotis,Lilac-cheeked Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Alcedo azurea,Alcedo_azurea,Azure Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Chloroceryle aenea,Chloroceryle_aenea,American Pygmy Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Chloroceryle amazona,Chloroceryle_amazona,Amazon Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Alcedo argentata,Alcedo_argentata,Silvery Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Alcedo atthis,Alcedo_atthis,Common Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Clytoceyx rex,Clytoceyx_rex,Shovel-billed Kookaburra,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Chloroceryle americana,Chloroceryle_americana,Green Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Halcyon badia,Halcyon_badia,Chocolate-backed Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Halcyon pileata,Halcyon_pileata,Black-capped Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Halcyon senegalensis,Halcyon_senegalensis,Woodland Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Halcyon malimbica,Halcyon_malimbica,Blue-breasted Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Halcyon leucocephala,Halcyon_leucocephala,Grey-headed Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Halcyon cyanoventris,Halcyon_cyanoventris,Javan Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Lacedo pulchella,Lacedo_pulchella,Banded Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Halcyon chelicuti,Halcyon_chelicuti,Striped Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Megaceryle lugubris,Megaceryle_lugubris,Crested Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Melidora macrorrhina,Melidora_macrorrhina,Hook-billed Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Halcyon albiventris,Halcyon_albiventris,Brown-hooded Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Halcyon senegaloides,Halcyon_senegaloides,Mangrove Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Megaceryle torquata,Megaceryle_torquata,Ringed Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Megaceryle maxima,Megaceryle_maxima,Giant Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Halcyon smyrnensis,Halcyon_smyrnensis,White-throated Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Megaceryle alcyon,Megaceryle_alcyon,Belted Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Halcyon coromanda,Halcyon_coromanda,Ruddy Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Uratelornis chimaera,Uratelornis_chimaera,Long-tailed Ground-roller,BL3,Brachypteraciidae,Brachypteraciidae,Ground-rollers,83,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Brachypteracias leptosomus,Brachypteracias_leptosomus,Short-legged Ground-roller,BL3,Brachypteraciidae,Brachypteraciidae,Ground-rollers,83,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Brachypteracias squamiger,Brachypteracias_squamiger,Scaly Ground-roller,BL3,Brachypteraciidae,Brachypteraciidae,Ground-rollers,83,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Atelornis crossleyi,Atelornis_crossleyi,Rufous-headed Ground-roller,BL3,Brachypteraciidae,Brachypteraciidae,Ground-rollers,83,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Atelornis pittoides,Atelornis_pittoides,Pitta-like Ground-roller,BL3,Brachypteraciidae,Brachypteraciidae,Ground-rollers,83,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Coracias cyanogaster,Coracias_cyanogaster,Blue-bellied Roller,BL3,Coraciidae,Coraciidae,Rollers,82,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Coracias temminckii,Coracias_temminckii,Purple-winged Roller,BL3,Coraciidae,Coraciidae,Rollers,82,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Coracias spatulatus,Coracias_spatulatus,Racket-tailed Roller,BL3,Coraciidae,Coraciidae,Rollers,82,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Coracias garrulus,Coracias_garrulus,European Roller,BL3,Coraciidae,Coraciidae,Rollers,82,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Coracias abyssinicus,Coracias_abyssinicus,Abyssinian Roller,BL3,Coraciidae,Coraciidae,Rollers,82,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Coracias caudatus,Coracias_caudatus,Lilac-breasted Roller,BL3,Coraciidae,Coraciidae,Rollers,82,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Coracias benghalensis,Coracias_benghalensis,Indian Roller,BL3,Coraciidae,Coraciidae,Rollers,82,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Coracias naevia,Coracias_naevia,Rufous-crowned Roller,BL3,Coraciidae,Coraciidae,Rollers,82,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Eurystomus orientalis,Eurystomus_orientalis,Asian Dollarbird,BL3,Coraciidae,Coraciidae,Rollers,82,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Eurystomus gularis,Eurystomus_gularis,Blue-throated Roller,BL3,Coraciidae,Coraciidae,Rollers,82,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Eurystomus azureus,Eurystomus_azureus,Purple Dollarbird,BL3,Coraciidae,Coraciidae,Rollers,82,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Eurystomus glaucurus,Eurystomus_glaucurus,Broad-billed Roller,BL3,Coraciidae,Coraciidae,Rollers,82,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Nyctyornis amictus,Nyctyornis_amictus,Red-bearded Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Nyctyornis athertoni,Nyctyornis_athertoni,Blue-bearded Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops nubicus,Merops_nubicus,Northern Carmine Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops persicus,Merops_persicus,Blue-cheeked Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops viridis,Merops_viridis,Blue-throated Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops variegatus,Merops_variegatus,Blue-breasted Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops superciliosus,Merops_superciliosus,Madagascar Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops revoilii,Merops_revoilii,Somali Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops pusillus,Merops_pusillus,Little Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops philippinus,Merops_philippinus,Blue-tailed Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops ornatus,Merops_ornatus,Rainbow Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops oreobates,Merops_oreobates,Cinnamon-chested Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops albicollis,Merops_albicollis,White-throated Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops nubicoides,Merops_nubicoides,Southern Carmine Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops muelleri,Merops_muelleri,Blue-headed Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops malimbicus,Merops_malimbicus,Rosy Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops leschenaulti,Merops_leschenaulti,Chestnut-headed Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops hirundineus,Merops_hirundineus,Swallow-tailed Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops gularis,Merops_gularis,Black Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops bulocki,Merops_bulocki,Red-throated Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops bullockoides,Merops_bullockoides,White-fronted Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops breweri,Merops_breweri,Black-headed Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops boehmi,Merops_boehmi,Boehm's Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops apiaster,Merops_apiaster,European Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Meropogon forsteni,Meropogon_forsteni,Purple-bearded Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Merops orientalis,Merops_orientalis,Little Green Bee-eater,BL3,Meropidae,Meropidae,Bee-eaters,88,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
